Story,OutputCase,CaseType,StepType,StepNumber,Location,P,VX,VY,T,MX,MY
Story12,ES-F,Combination,Min,,Top,3876.837,-509.7061,-327.1248,-13438.73,57435.0095,-270042.1675
Story12,ES-F,Combination,Min,,Bottom,3933.7954,-509.7061,-327.1248,-13438.73,57481.9002,-275336.3218
Story11,Ex,LinStatic,Step By Step,1,Top,0,-641.5234,-0.4209,10236.2466,3.9934,-7625.746
Story11,Ex,LinStatic,Step By Step,1,Bottom,0,-641.5234,-0.4209,10236.2466,5.256,-9550.3162
Story11,Ex,LinStatic,Step By Step,2,Top,0,-641.4947,0.215,10836.7366,-2.1828,-7625.4711
Story11,Ex,LinStatic,Step By Step,2,Bottom,0,-641.4947,0.215,10836.7366,-2.8277,-9549.9552
Story11,Ex,LinStatic,Step By Step,3,Top,0,-641.5521,-1.0567,9635.7567,10.1696,-7626.0209
Story11,Ex,LinStatic,Step By Step,3,Bottom,0,-641.5521,-1.0567,9635.7567,13.3398,-9550.6772
Story11,Ey,LinStatic,Step By Step,1,Top,0,-0.4197,-652.5571,-21220.7877,7733.4535,-3.9214
Story11,Ey,LinStatic,Step By Step,1,Bottom,0,-0.4197,-652.5571,-21220.7877,9691.1248,-5.1806
Story11,Ey,LinStatic,Step By Step,2,Top,0,-0.4484,-653.193,-21821.2777,7739.6297,-4.1963
Story11,Ey,LinStatic,Step By Step,2,Bottom,0,-0.4484,-653.193,-21821.2777,9699.2086,-5.5416
Story11,Ey,LinStatic,Step By Step,3,Top,0,-0.391,-651.9212,-20620.2977,7727.2774,-3.6466
Story11,Ey,LinStatic,Step By Step,3,Bottom,0,-0.391,-651.9212,-20620.2977,9683.041,-4.8195
Story11,Qx,LinRespSpec,Max,,Top,0,476.9785,23.9253,8641.5897,534.081,7764.4346
Story11,Qx,LinRespSpec,Max,,Bottom,0,476.9785,23.9253,8641.5897,582.5901,8991.5106
Story11,Qy,LinRespSpec,Max,,Top,0,26.4037,310.8772,10717.5281,5036.3233,463.5069
Story11,Qy,LinRespSpec,Max,,Bottom,0,26.4037,310.8772,10717.5281,5811.1305,531.7822
Story11,Qx-Servicio (R=6),LinRespSpec,Max,,Top,0,287.1439,14.4032,5202.2884,321.5199,4674.2358
Story11,Qx-Servicio (R=6),LinRespSpec,Max,,Bottom,0,287.1439,14.4032,5202.2884,350.7227,5412.9429
Story11,Qy-Servicio (R=6),LinRespSpec,Max,,Top,0,14.9889,176.479,6084.1342,2859.0237,263.124
Story11,Qy-Servicio (R=6),LinRespSpec,Max,,Bottom,0,14.9889,176.479,6084.1342,3298.8668,301.8825
Story11,EU-F,Combination,Max,,Top,12113.7055,727.3371,477.0468,19964.2037,193819.8881,-203224.315
Story11,EU-F,Combination,Max,,Bottom,12269.1473,727.3371,477.0468,19964.2037,196307.1524,-204141.1604
Story11,EU-F,Combination,Min,,Top,6714.4539,-727.3706,-477.1433,-19966.3932,99636.7738,-388030.1069
Story11,EU-F,Combination,Min,,Bottom,6800.6131,-727.3706,-477.1433,-19966.3932,99831.3889,-393060.3345
Story11,ES-F,Combination,Max,,Top,9405.4271,509.2685,334.0538,14018.1818,155946.3442,-133884.3392
Story11,ES-F,Combination,Max,,Bottom,9526.1165,509.2685,334.0538,14018.1818,158706.5977,-134417.2805
Story11,ES-F,Combination,Min,,Top,4438.8078,-509.2939,-334.1268,-14019.8391,65562.0994,-309578.6401
Story11,ES-F,Combination,Min,,Bottom,4495.7661,-509.2939,-334.1268,-14019.8391,65644.4336,-314794.5304
Story10,Ex,LinStatic,Step By Step,1,Top,0,-690.2428,-0.4865,11011.4713,5.256,-9550.3162
Story10,Ex,LinStatic,Step By Step,1,Bottom,0,-690.2428,-0.4865,11011.4713,6.7155,-11621.0446
Story10,Ex,LinStatic,Step By Step,2,Top,0,-690.2097,0.2451,11659.8799,-2.8277,-9549.9552
Story10,Ex,LinStatic,Step By Step,2,Bottom,0,-690.2097,0.2451,11659.8799,-3.563,-11620.5842
Story10,Ex,LinStatic,Step By Step,3,Top,0,-690.2759,-1.2181,10363.0627,13.3398,-9550.6772
Story10,Ex,LinStatic,Step By Step,3,Bottom,0,-690.2759,-1.2181,10363.0627,16.9941,-11621.505
Story10,Ey,LinStatic,Step By Step,1,Top,0,-0.4875,-702.9194,-22882.3362,9691.1248,-5.1806
Story10,Ey,LinStatic,Step By Step,1,Bottom,0,-0.4875,-702.9194,-22882.3362,11799.883,-6.6432
Story10,Ey,LinStatic,Step By Step,2,Top,0,-0.5206,-703.651,-23530.7447,9699.2086,-5.5416
Story10,Ey,LinStatic,Step By Step,2,Bottom,0,-0.5206,-703.651,-23530.7447,11810.1615,-7.1035
Story10,Ey,LinStatic,Step By Step,3,Top,0,-0.4544,-702.1878,-22233.9276,9683.041,-4.8195
Story10,Ey,LinStatic,Step By Step,3,Bottom,0,-0.4544,-702.1878,-22233.9276,11789.6045,-6.1828
Story10,Qx,LinRespSpec,Max,,Top,0,483.7619,25.7068,8783.8334,582.5901,8991.5106
Story10,Qx,LinRespSpec,Max,,Bottom,0,483.7619,25.7068,8783.8334,619.0228,10138.775
Story10,Qy,LinRespSpec,Max,,Top,0,26.3408,323.7353,11208.8678,5811.1305,531.7822
Story10,Qy,LinRespSpec,Max,,Bottom,0,26.3408,323.7353,11208.8678,6566.6605,593.3102
Story10,Qx-Servicio (R=6),LinRespSpec,Max,,Top,0,291.2276,15.4756,5287.9199,350.7227,5412.9429
Story10,Qx-Servicio (R=6),LinRespSpec,Max,,Bottom,0,291.2276,15.4756,5287.9199,372.6554,6103.6029
Story10,Qy-Servicio (R=6),LinRespSpec,Max,,Top,0,14.9532,183.7783,6363.0583,3298.8668,301.8825
Story10,Qy-Servicio (R=6),LinRespSpec,Max,,Bottom,0,14.9532,183.7783,6363.0583,3727.7667,336.8107
Story10,EU-F,Combination,Max,,Top,13647.349,737.4827,497.1292,20765.0611,218358.3782,-228586.4585
Story10,EU-F,Combination,Max,,Bottom,13802.7908,737.4827,497.1292,20765.0611,220845.6773,-229626.0612
Story10,EU-F,Combination,Min,,Top,7564.5306,-737.5195,-497.2432,-20767.6906,112054.0684,-437162.6764
Story10,EU-F,Combination,Min,,Bottom,7650.6897,-737.5195,-497.2432,-20767.6906,112283.0529,-442192.9104
Story10,ES-F,Combination,Max,,Top,10596.1917,516.3701,348.1206,14579.4995,175827.7994,-150577.6386
Story10,ES-F,Combination,Max,,Bottom,10716.8811,516.3701,348.1206,14579.4995,178563.9745,-151196.5435
Story10,ES-F,Combination,Min,,Top,5000.7786,-516.3981,-348.2069,-14581.4904,73724.6328,-349036.8487
Story10,ES-F,Combination,Min,,Bottom,5057.7369,-516.3981,-348.2069,-14581.4904,73831.0852,-354166.7827
Story9,Ex,LinStatic,Step By Step,1,Top,0,-732.6127,-0.5542,11684.991,6.7155,-11621.0446
Story9,Ex,LinStatic,Step By Step,1,Bottom,0,-732.6127,-0.5542,11684.991,8.3781,-13818.8826
